field,person_id,college_id,graduation_year,degree,degree_id
Chemical Engineering 化工,88602378,NA,NA,NA,88620387
Military Engineering,88603089,NA,NA,NA,88621060
Mechanical Engineering 機械,88605314,NA,NA,NA,88623137
Civil Engineering 土木,88611019,NA,NA,NA,88628457
Civil Engineering 土木,88602963,NA,NA,NA,88620940
Chemistry,88602567,NA,NA,NA,88620567
Mechanical Engineering 機械,88605247,NA,NA,NA,88623074
Chemistry,88603581,NA,NA,NA,88621521
Hydraulic Engineering,88611285,NA,NA,NA,88628715
Civil Engineering 土木,88604634,NA,NA,NA,88622500
Chemical Engineering 化工,88611386,NA,NA,NA,88628807
Mechanical Engineering 機械,88603113,NA,NA,NA,88621083
Civil Engineering 土木,88602395,NA,NA,NA,88620402
Chemical Engineering 化工,88600822,NA,NA,NA,88618920
Aviation,88600227,NA,NA,NA,88618372
Chemical Engineering 化工,88610848,NA,NA,NA,88628285
Chemistry,88602389,NA,NA,NA,88620395
Civil Engineering 土木,88601197,NA,NA,NA,88619265
Chemistry,88601194,NA,NA,NA,88619262
Chemistry,88600432,NA,NA,NA,88618565
Civil Engineering 土木,88600226,NA,NA,NA,88618371
Chemistry,88605166,NA,NA,NA,88622998
Chemistry,88610943,NA,NA,NA,88628377
Chemical Engineering 化工,88610944,NA,NA,NA,88628378
Civil Engineering 土木,88605085,NA,NA,NA,88622919
Chemical Engineering 化工,88604263,NA,NA,NA,88622167
Civil Engineering 土木,88605086,NA,NA,NA,88622920
Aviation,88604493,NA,NA,NA,88622374
Mechanical Engineering 機械,88602913,NA,NA,NA,88620893
Chemical Engineering 化工,88603351,NA,NA,NA,88621310
Hydraulic Engineering,88600066,NA,NA,NA,88618222
Electrical Engineering 電機,88601290,NA,NA,NA,88619357
Chemical Engineering 化工,88603856,NA,NA,NA,88621789
Military Engineering,88603864,NA,NA,NA,88621798
Chemical Engineering 化工,88611392,NA,NA,NA,88628813
Civil Engineering 土木,88603117,NA,NA,NA,88621087
Mechanical Engineering 機械,88602397,NA,NA,NA,88620404
Chemical Engineering 化工,88602160,NA,NA,NA,88620175
Civil Engineering 土木,88603348,NA,NA,NA,88621307
Mechanical Engineering 機械,88603291,NA,NA,NA,88621257
Architecture 建築,88600336,NA,NA,NA,88618472
Mechanical Engineering 機械,88600436,NA,NA,NA,88618569
Architecture 建築,88610891,NA,NA,NA,88628327
