person_id,societies,societies_number,societies_date,societies_status
64963,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
64504,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
64495,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
64775,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
66339,Chinese Institute of Engineers 中華工程師學會,1682,by 1953,Full
67604,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
64716,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
66912,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
66909,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
64616,Chinese Institute of Engineers 中華工程師學會,181,by 1953,Full
66659,Chinese Institute of Engineers 中華工程師學會,1073,by 1953,NA
62954,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,NA
64799,Chinese Institute of Engineers 中華工程師學會,1696,by 1953,NA
63428,Chinese Institute of Engineers 中華工程師學會,1326,by 1953,NA
61342,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
66262,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
66465,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
66467,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
69613,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
60460,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
60465,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
66769,Chinese Institute of Engineers 中華工程師學會,1419,by 1953,Full
68309,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
62589,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
61399,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Assistant
62938,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Assistant
62619,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Assistant
13777,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
17934,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
15717,Chinese Institute of Engineers 中華工程師學會,1268,by 1953,Full
17922,Chinese Institute of Engineers 中華工程師學會,1668,by 1953,Full
15873,Chinese Institute of Engineers 中華工程師學會,204,by 1953,NA
18164,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
20866,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
19047,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
7622,Chinese Institute of Engineers 中華工程師學會,1515,by 1953,Full
61622,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
62230,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
60164,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
60746,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
48883,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
48897,Chinese Institute of Engineers 中華工程師學會,1327,by 1953,Full
53479,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
53437,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
54615,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
54625,Chinese Institute of Engineers 中華工程師學會,1031,by 1953,Full
45306,Chinese Institute of Engineers 中華工程師學會,1593,by 1953,Full
39150,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
39152,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
46419,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
46602,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
53731,Chinese Institute of Engineers 中華工程師學會,1418,by 1953,Full
21227,Chinese Institute of Engineers 中華工程師學會,455,by 1953,Full
52893,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
62804,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Assistant
68947,Chinese Institute of Engineers 中華工程師學會,796,by 1953,Full
44637,Chinese Institute of Engineers 中華工程師學會,1168,by 1953,Full
21458,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
53932,Chinese Institute of Engineers 中華工程師學會,350,by 1953,Full
54083,Chinese Institute of Engineers 中華工程師學會,496,by 1953,Full
35366,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
46118,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
44835,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
45516,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
44820,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
35520,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
46193,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
37369,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
43025,Chinese Institute of Engineers 中華工程師學會,1238,by 1953,Full
43058,Chinese Institute of Engineers 中華工程師學會,1590,by 1953,Full
42979,Chinese Institute of Engineers 中華工程師學會,1223,by 1953,Full
6240,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
6258,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
42521,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
14770,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
17666,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
19701,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
15240,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
43626,Chinese Institute of Engineers 中華工程師學會,1640,by 1953,Full
43374,Chinese Institute of Engineers 中華工程師學會,1351,by 1953,Full
43614,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
54695,Chinese Institute of Engineers 中華工程師學會,1275,by 1953,Full
54697,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
71136,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
71388,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
53837,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
53860,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
20047,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Assistant
19978,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Assistant
15825,Chinese Institute of Engineers 中華工程師學會,394,by 1953,Full
67022,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
3473,Chinese Institute of Engineers 中華工程師學會,712,by 1953,Full
3406,Chinese Institute of Engineers 中華工程師學會,731,by 1953,Full
19843,Chinese Institute of Engineers 中華工程師學會,1550,by 1953,Full
40033,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
40001,Chinese Institute of Engineers 中華工程師學會,489,by 1953,Full
40102,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
42389,Chinese Institute of Engineers 中華工程師學會,692,by 1953,Full
42380,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
42004,Chinese Institute of Engineers 中華工程師學會,1138,by 1953,Full
42046,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
41537,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
41170,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
42036,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
41251,Chinese Institute of Engineers 中華工程師學會,1032,by 1953,NA
42426,Chinese Institute of Engineers 中華工程師學會,NA,by 1953,Full
42214,Chinese Institute of Engineers 中華工程師學會,1002,by 1953,Full
41396,Chinese Institute of Engineers 中華工程師學會,1084,by 1953,Full
