employer_id,employer_name,location_id,parent_id,parent_name
3614,河南開封水利局,717,NA,NA
3648,青島港務局,2331,NA,NA
3650,高密光明電燈公司,3645,NA,NA
3652,博東悅昇煤礦公司,NA,NA,NA
3677,北平督辦全國兵工署,410,NA,NA
3679,北平陸軍部,410,NA,NA
3681,漢冶鐵廠礦公司,NA,NA,NA
3683,河北鞏縣兵工廠槍廠,1002,NA,NA
3697,蕪湖皖省鐵路公司,NA,NA,NA
3700,皖路公司,60,NA,NA
3702,蕪湖關監督署,3703,NA,NA
3705,廣東肇慶都司令部,3706,NA,NA
3714,美國勿蘭斯威工廠,1387,NA,NA
3717,上海茂和洋行,877,NA,NA
3719,廈門華興建築,886,NA,NA
3734,貴州建設廳,75,NA,NA
3757,濟南電話公司,1177,NA,NA
3759,博山電話公司,3760,NA,NA
3762,濟寧電話公司,3763,NA,NA
3776,Suzhou Telephone Office 蘇州電話局,1315,NA,NA
3778,江西電政管理局,70,NA,NA
3793,Columet & Hechler Mining Co.,1387,NA,NA
3795,Bethlehem Steel Co.,39281,NA,NA
3798,永利化學工業公司,NA,NA,NA
3808,陝西富平立誠初級中學,3809,NA,NA
3814,杭州中央飛機製造廠,999,NA,NA
3823,Beijing Public Works Department 北平市工務局,410,NA,NA
3845,蚌埠機務分段,1028,NA,NA
3849,常德鼎新電燈公司,402,NA,NA
3873,齋堂煤礦,NA,NA,NA
3875,中興礦局,NA,NA,NA
3877,中英公司,NA,NA,NA
3880,山西設計審查會,76,NA,NA
3882,北平成達初級中學,410,NA,NA
3888,五省市交通委員,NA,NA,NA
3890,全國公路交通委員會,NA,NA,NA
3894,公路管理局,NA,NA,NA
3896,交通管理股,NA,NA,NA
3909,中國製釘公司,877,NA,NA
3947,倫敦狄金生造紙廠,3067,NA,NA
3949,漢口福興漂染廠,2380,NA,NA
3951,常州通成紗廠,2406,NA,NA
3953,卜內門洋碱公司,NA,NA,NA
3957,五豐染織廠,NA,NA,NA
3959,上海光明染織廠,877,NA,NA
3972,Central Military Academy 中央陸軍軍官學校,90,NA,NA
3986,Anhui Highway Department 安徽公路局,60,NA,NA
4011,上海永安紡織公司,877,NA,NA
4020,德國克魯沙化學工廠,121,NA,NA
4022,巴登省蘇打工廠實習,4023,NA,NA
4026,哈爾濱厚生製革公司,13060,NA,NA
4028,中央陸地測量學校,NA,NA,NA
4030,軍委會總顧問辦公廳,NA,NA,NA
4037,Tongji University 同濟大學,877,NA,NA
4045,河北中學,63,NA,NA
4074,陝西第二中學,78,NA,NA
4097,上海漢藜公司鍾靈印字機製造廠,877,NA,NA
4099,上海仲明機器廠,877,NA,NA
4103,西北國營公路管理局,NA,NA,NA
4109,上海久勝洋行,877,NA,NA
4111,上海開能達公司,877,NA,NA
