person_id,sources
3850,Gongchengren minglu (1941)
3854,Gongchengren minglu (1941)
3856,Gongchengren minglu (1941)
3859,Gongchengren minglu (1941)
3862,Gongchengren minglu (1941)
3862,Shuili (1933)
3865,Gongchengren minglu (1941)
3868,Gongchengren minglu (1941)
3870,Gongchengren minglu (1941)
3870,Kuangye gongcheng xuehui huiyuan lu (1943)
3883,Gongchengren minglu (1941)
3900,Gongchengren minglu (1941)
3903,Gongchengren minglu (1941)
3905,Gongchengren minglu (1941)
3913,Gongchengren minglu (1941)
3914,Gongchengren minglu (1941)
3914,Zhongguo ranhua jinian kan (1940)
3918,Gongchengren minglu (1941)
3920,Gongchengren minglu (1941)
3923,Gongchengren minglu (1941)
3926,Gongchengren minglu (1941)
3928,Gongchengren minglu (1941)
3932,Gongchengren minglu (1941)
3934,Gongchengren minglu (1941)
3937,Gongchengren minglu (1941)
3939,Gongchengren minglu (1941)
3942,Gongchengren minglu (1941)
3960,Gongchengren minglu (1941)
3962,Gongchengren minglu (1941)
3965,Gongchengren minglu (1941)
3968,Gongchengren minglu (1941)
3973,Gongchengren minglu (1941)
3975,Gongchengren minglu (1941)
3980,Gongchengren minglu (1941)
3987,Gongchengren minglu (1941)
3989,Gongchengren minglu (1941)
3993,Gongchengren minglu (1941)
3998,Gongchengren minglu (1941)
4004,Gongchengren minglu (1941)
4008,Gongchengren minglu (1941)
4012,Gongchengren minglu (1941)
4015,Gongchengren minglu (1941)
4031,Gongchengren minglu (1941)
4040,Gongchengren minglu (1941)
4050,Gongchengren minglu (1941)
4053,Gongchengren minglu (1941)
4055,Gongchengren minglu (1941)
4057,Gongchengren minglu (1941)
4059,Gongchengren minglu (1941)
4061,Gongchengren minglu (1941)
4063,Gongchengren minglu (1941)
4065,Gongchengren minglu (1941)
4067,Gongchengren minglu (1941)
4071,Gongchengren minglu (1941)
4075,Gongchengren minglu (1941)
4078,Gongchengren minglu (1941)
4081,Gongchengren minglu (1941)
4085,Gongchengren minglu (1941)
4088,Gongchengren minglu (1941)
4092,Gongchengren minglu (1941)
4104,Gongchengren minglu (1941)
4106,Gongchengren minglu (1941)
4106,Zhongguo gongchengshi xuehui Wuhan fenhui (1933)
4118,Gongchengren minglu (1941)
4121,Gongchengren minglu (1941)
4125,Gongchengren minglu (1941)
4125,Journal of the ACAE (1938)
4125,Qinghua daxue tumu gongcheng xuehui huikan (1949)
4125,Qinghua daxue tumu gongcheng xuehui huikan (1944)
4125,Shuili (1933)
4128,Gongchengren minglu (1941)
4132,Gongchengren minglu (1941)
4134,Gongchengren minglu (1941)
4137,Gongchengren minglu (1941)
4151,Gongchengren minglu (1941)
4151,Kuangye gongcheng xuehui huiyuan lu (1943)
4152,Gongchengren minglu (1941)
4152,Zhonghua gongchengshi xuehui huiyuanlu (1924)
4185,Gongchengren minglu (1941)
4188,Gongchengren minglu (1941)
4191,Gongchengren minglu (1941)
4194,Gongchengren minglu (1941)
4197,Gongchengren minglu (1941)
4199,Gongchengren minglu (1941)
4199,Chinese Who's Who (1944)
4199,Gongcheng xuehui huibao (1919)
4199,Chinese Students Directory (1931)
4205,Gongchengren minglu (1941)
4205,Kuangye gongcheng xuehui huiyuan lu (1943)
4227,Gongchengren minglu (1941)
4231,Gongchengren minglu (1941)
4231,Diangong (1947)
4234,Gongchengren minglu (1941)
4239,Gongchengren minglu (1941)
4239,Qinghua daxue tumu gongcheng xuehui huikan (1949)
4239,Qinghua daxue tumu gongcheng xuehui huikan (1944)
4239,Chinese Who's Who (1944)
4239,Who's Who in China (1936)
4239,Gongcheng xuehui huibao (1919)
4254,Gongchengren minglu (1941)
4254,Dongli gongcheng (1947)
4254,Diangong (1947)
4265,Gongchengren minglu (1941)
4268,Gongchengren minglu (1941)
4271,Gongchengren minglu (1941)
4278,Gongchengren minglu (1941)
4278,Kuangye gongcheng xuehui huiyuan lu (1943)
4285,Gongchengren minglu (1941)
4288,Gongchengren minglu (1941)
4290,Gongchengren minglu (1941)
4298,Gongchengren minglu (1941)
4300,Gongchengren minglu (1941)
4303,Gongchengren minglu (1941)
4306,Gongchengren minglu (1941)
4313,Gongchengren minglu (1941)
4316,Gongchengren minglu (1941)
4318,Gongchengren minglu (1941)
4319,Gongchengren minglu (1941)
4325,Gongchengren minglu (1941)
4326,Gongchengren minglu (1941)
4329,Gongchengren minglu (1941)
4329,Diangong (1947)
4334,Gongchengren minglu (1941)
4334,Kuangye gongcheng xuehui huiyuan lu (1943)
4346,Gongchengren minglu (1941)
4348,Gongchengren minglu (1941)
4350,Gongchengren minglu (1941)
4352,Gongchengren minglu (1941)
4354,Gongchengren minglu (1941)
4354,Chinese Students Directory (1931)
4368,Gongchengren minglu (1941)
4370,Gongchengren minglu (1941)
4374,Gongchengren minglu (1941)
4382,Gongchengren minglu (1941)
4388,Gongchengren minglu (1941)
4391,Gongchengren minglu (1941)
4392,Gongchengren minglu (1941)
4399,Gongchengren minglu (1941)
4400,Gongchengren minglu (1941)
4413,Gongchengren minglu (1941)
