college_id,college_name,location_id
7133,Publice T. E. S.,159
7349,Hohai University of Technology 河海工程大學/河海工科大學,90
7419,旅順工科大學,64
7847,Durham University,7848
8099,法國法爾曼飛機學校,159
8454,湖南工專,16722
8796,Stuttgart T. H. (Stuttgart Technische Hochschule),8797
9076,Ohio University,26744
9078,University of Missouri,271
9439,Cheeloo University 齊魯大學,1177
9467,Berkeley D. S.,130
9471,Aachen T. H. (Aachen Technische Hochschule),8840
9480,Université catholique de Louvain (Louvain C. U.),9481
9695,École centrale des arts et Métiers,3060
9892,荷蘭工業大學,9893
10230,Lyonnaise C. E.,2122
10338,Victoria U. (Victoria University),25218
10656,江蘇工專,71
10835,中央機械,NA
11531,日本京都高等工藝學校,2585
11540,日本九洲帝國大學,11541
11621,N. Y. M.,146
11734,東京岩倉鐵道學校,604
11803,Ghent University,11806
12052,Heald College,12053
12116,Manchester University,125
12138,Lowell Textile School,144
12305,S. Wales U. (University of South Wales),31301
12688,Hannover T. H. (Technische Hochschule Hannover),9901
12802,Osaka School of Technology 日本大阪工業學校/日本大阪高工/大阪工業大學,551
12994,Gand University,11806
13007,桐生高等工業學校,258
13013,天津工商學校,427
13051,奉福岡明治專校,258
13367,Lafayette University,13368
13468,Carnegie I. T.,1801
13473,Oklahoma University,13474
13527,McSweeny A. T. E. S.,1387
13974,意國都林航空專修院,6318
14121,Jinan University 暨南大學,90
14352,North Carolina Agricultural Engineering College Carolina Agr. Eng. C.,14353
14405,Francaise P. E.,159
14443,東京高等師範工藝,604
14552,New Mexico M. S.,14553
14807,Union U. (Union University),1387
14843,UCLouvain FUCaM Mons,14844
14873,哈爾濱中俄工業大學,13060
14972,大阪工科大學,258
14999,Karlsruhe T. H.,9924
15103,Marconi’s College,125
15203,Tufts C. (Tufts College),144
15216,法國巴黎巴斯德學院 (Institut Pasteur),1948
15222,河北省立工業學院,63
15494,日本桐生高工,258
15577,日本東京廉倉鐵道專門學校,258
15664,Universität Tübingen (Tubingen University),121
16040,Nebraska University,1387
16161,Armstrong College,7848
16173,福建公立工專,61
16209,四川工專,1434
16706,Northwest University 西北大學,2596
16858,Lill C. I.,159
16974,日本大阪工專,258
17964,日本明治工專,258
18010,日本京都高工,2585
18094,Wichita University,161
18225,Portland University,18229
18227,Alma College,199
18260,Edinburgh University,18263
18262,Heriot-Watt University,18263
18350,Philadelphia Textile School (Phil. Tex. S.),18351
18678,河北水利工專,63
18762,Curtiss-Wright Flying School (Curtiss-Wright F. S.),1387
18851,Universität Göttingen 哥廷根大學,18852
18952,Versailles Saint-Quentin-en-Yvelines University (St. Quentin U.),18953
19774,東京東亞鐵道專校,604
20227,中俄大學,NA
20270,日本熊本高工,24843
20417,North Carolina State College of Agriculture and Engineering (N. C. State C.),14353
20494,University of North Carolina,14353
20620,武漢市工務局,356
20662,Ing-Hyd. E.,159
20764,日本明治大學,258
20791,日本仙台高工,20792
21148,Technische Hochschule Köthen (Kothen),21149
21289,Oxford University,21290
21774,巴黎飛機汽車專門學校,1948
21950,福岡明治工學院,29091
22252,Moscow Sun Yat-sen University 莫斯科中山大學,22253
22425,日本東京電機學校,604
22608,南京工業專門學校,90
22773,西北學院,NA
23158,Danzig T. H.,23159
23424,馮庸大學,511
23591,德 Zement Institut,NA
23712,法 Sorbonne U.,1948
23919,Suzhou Ango-Chinese College 蘇州中西書院,1315
24281,Leipzig University,24282
24564,軍政部兵工專門學校,1120
24641,東京農業大學,604
24643,日本倉岩鐵路學校,258
24703,東華大學,NA
24842,日本熊本工業大學,24843
25473,日本東京岩倉學校,604
25654,日本高工學校,NA
25976,Edinburgh Tech. C.,18263
26147,長春高工,755
26673,Yenching University 燕京大學,410
26676,National University of Ireland,26680
27147,University of Cambridge (Cambridge U.),15299
27166,法國巴黎亨利俄航空,1948
27199,晉綏兵工築路局傳習所,726
27509,Polytech C.,125
27545,Mecanique S. E. E.,159
27717,Centrale M. A. E.,159
27770,日本東亞鐵道學校,258
27988,法國國立礦務大學,NA
28081,焦作礦務專校,3074
28460,Technische Hochschule Charlottenburg (Charlottenburg T. H.),432
28530,Rowin E.,159
28532,Toulouse C. U.,6103
28579,日本熊本大學,24843
28731,日本中央工科學校,258
29082,湖北工業專校,68
29220,"Iowa State College of Agriculture and Mechanic (Iowa Agr. & Mech. A. C., Iowa Agr. & M. A. C., Iowa A. M. A. C.)",182
29249,日本福岡明治專門學校,29091
29428,The Hague U.,29429
29539,University of Akron/ Akron U.,137
29634,University of Rochester,29635
29803,Douai I. A. E.,29804
30193,Kiel University,30194
30314,山西工業學院,743
30398,Liverpool University,30399
30474,比國南海工科大學,2753
30772,交通部唐山鐵路學校/交通部唐山鐵路學堂,445
31031,Batiment T. E.,159
31168,Bordeaux University,31169
31171,Breslau University,4018
31371,陝西大學,2596
31416,Radio Institute of America,1387
31478,University of Lille,31479
31951,Mapúa Institute of Technology (Mapúa I. T. / Mapua I. T./菲律濱 Mapua I. T.),31952
32000,University of Notre Dame,228
32224,日本高等工業學校,258
32646,郵傳部唐山路礦學堂,445
32667,日本鹿島高工,258
32832,P. T. T. E. S.,NA
33145,Hamburg T. H.,33146
33231,Zurich U.,33233
33389,Montana University,33390
33534,N. Y. College,NA
33611,Rennes U.,33612
33732,Pratt Institute (Pratt I.),8693
34021,法國巴黎航空機械專校,159
34468,Greer A. E. S.,1387
34865,Detroit Law C.,34866
35224,Goldsmiths College,3067
35255,河南工程專校,66
35792,Ypres U.,35793
35838,G. E. I.,159
35984,Marquette U.,35985
36236,國立勞動大學,877
36730,日本橫濱高工,17969
36751,河南大學,717
36894,郵傳部電報測量學堂,NA
36896,電報高等學堂,NA
37312,Manitoba U.,37313
37738,Battersea P. T.,125
37910,巴黎航空工程學校,1948
